873:Utis-2251599,Doğruluq ehtimalı=61.25
43454:Utis-2322093,Doğruluq ehtimalı=68.75
43725:Utis-2892010,Doğruluq ehtimalı=68.18181818181819
43748:Utis-1851520,Doğruluq ehtimalı=52.38095238095238
43813:Utis-2925225,Doğruluq ehtimalı=8.712121212121211
43946:Utis-2357878,Doğruluq ehtimalı=67.85714285714286
43972:Utis-1506619,Doğruluq ehtimalı=9.090909090909092
44540:Utis-2148249,Doğruluq ehtimalı=0
45997:Utis-2549942,Doğruluq ehtimalı=62.5
46307:Utis-1768139,Doğruluq ehtimalı=19.090909090909093
46315:Utis-1664164,Doğruluq ehtimalı=14.285714285714285
46743:Utis-1713162,Doğruluq ehtimalı=68.75
46859:Utis-2132210,Doğruluq ehtimalı=68.57142857142857
46879:Utis-1973869,Doğruluq ehtimalı=9.090909090909092
46980:Utis-3870578,Doğruluq ehtimalı=63.88888888888889
47958:Utis-2848983,Doğruluq ehtimalı=0
48157:Utis-2837756,Doğruluq ehtimalı=68.75
48465:Utis-2903099,Doğruluq ehtimalı=50
48488:Utis-2116919,Doğruluq ehtimalı=57.14285714285714
48787:Utis-2866236,Doğruluq ehtimalı=50
48988:Utis-2903319,Doğruluq ehtimalı=50
49127:Utis-3889268,Doğruluq ehtimalı=50
49442:Utis-1424311,Doğruluq ehtimalı=67.85714285714286
49456:Utis-2853391,Doğruluq ehtimalı=66.66666666666666
49698:Utis-2758643,Doğruluq ehtimalı=0
49740:Utis-1417121,Doğruluq ehtimalı=22.22222222222222
50029:Utis-2779986,Doğruluq ehtimalı=68.57142857142857
50564:Utis-2857909,Doğruluq ehtimalı=65.71428571428572
50893:Utis-1993001,Doğruluq ehtimalı=62.5
51358:Utis-1660222,Doğruluq ehtimalı=21.11111111111111
51953:Utis-1974217,Doğruluq ehtimalı=0
